points/segment = 2000
x-axis,signal1,signal2
second,Volt,Volt
+10.17850E-03,+25.31390E-03,+3.30124155E+00
+10.22800E-03,+25.31390E-03,+3.30542565E+00
+10.27750E-03,+25.31390E-03,+3.30542565E+00
+10.32700E-03,+25.31390E-03,+3.30124155E+00
+10.37650E-03,+25.31390E-03,+3.30124155E+00
+10.42600E-03,+22.07123E-03,+3.29799887E+00
+10.47550E-03,+25.31390E-03,+3.30124155E+00
+10.52500E-03,+25.83692E-03,+3.30071853E+00
+10.57450E-03,+25.31390E-03,+3.30124155E+00
+10.62400E-03,+25.31390E-03,+3.30124155E+00
+10.67350E-03,+25.20930E-03,+3.30124155E+00
+10.72300E-03,+21.44361E-03,+3.30124155E+00
+10.77250E-03,+25.31390E-03,+3.30124155E+00
+10.82200E-03,+25.31390E-03,+3.30124155E+00
+10.87150E-03,+25.31390E-03,+3.30030012E+00
+10.92100E-03,+25.31390E-03,+3.29705745E+00
+10.97050E-03,+22.48964E-03,+3.29705745E+00
+11.02000E-03,+25.31390E-03,+3.29705745E+00
+11.06950E-03,+25.31390E-03,+3.29946330E+00
+11.11900E-03,+25.31390E-03,+3.30124155E+00
+11.16850E-03,+25.31390E-03,+3.30124155E+00
+11.21800E-03,+25.31390E-03,+3.30301979E+00
+11.26750E-03,+25.31390E-03,+3.30542565E+00
+11.31700E-03,+28.13817E-03,+3.30124155E+00
+11.36650E-03,+25.31390E-03,+3.30239217E+00
+11.41600E-03,+25.31390E-03,+3.30448422E+00
+11.46550E-03,+25.31390E-03,+3.30469343E+00
+11.51500E-03,+25.31390E-03,+3.30124155E+00
+11.56450E-03,+29.18420E-03,+3.30542565E+00
+11.61400E-03,+29.39340E-03,+3.30134615E+00
+11.66350E-03,+29.39340E-03,+3.30532104E+00
+11.71300E-03,+25.62771E-03,+3.30511184E+00
+11.76250E-03,+25.31390E-03,+3.30542565E+00
+11.81200E-03,+28.76579E-03,+3.30469343E+00
+11.86150E-03,+29.49800E-03,+3.30542565E+00
+11.91100E-03,+25.31390E-03,+3.30542565E+00
+11.96050E-03,+26.67374E-03,+3.30124155E+00
+12.01000E-03,+29.49800E-03,+3.30542565E+00
+12.05950E-03,+25.31390E-03,+3.30542565E+00
+12.10900E-03,+25.31390E-03,+3.30542565E+00
+12.15850E-03,+25.31390E-03,+3.30542565E+00
+12.20800E-03,+25.31390E-03,+3.30542565E+00
+12.25750E-03,+25.31390E-03,+3.30699468E+00
+12.30700E-03,+26.67374E-03,+3.30542565E+00
+12.35650E-03,+25.31390E-03,+3.30542565E+00
+12.40600E-03,+25.31390E-03,+3.30542565E+00
+12.45550E-03,+25.31390E-03,+3.30469343E+00
+12.50500E-03,+25.31390E-03,+3.30542565E+00
+12.55450E-03,+25.31390E-03,+3.30124155E+00
+12.60400E-03,+29.49800E-03,+3.30542565E+00
+12.65350E-03,+29.49800E-03,+3.30542565E+00
+12.70300E-03,+29.18420E-03,+3.30542565E+00
+12.75250E-03,+28.97499E-03,+3.30542565E+00
+12.80200E-03,+29.49800E-03,+3.30469343E+00
+12.85150E-03,+29.49800E-03,+3.30542565E+00
+12.90100E-03,+29.49800E-03,+3.30542565E+00
+12.95050E-03,+25.31390E-03,+3.30542565E+00
+13.00000E-03,+25.31390E-03,+3.30124155E+00
+13.04950E-03,+27.09215E-03,+3.30364740E+00
+13.09900E-03,+29.49800E-03,+3.30124155E+00
+13.14850E-03,+29.49800E-03,+3.30343820E+00
+13.19800E-03,+829.70719E-03,+3.30542565E+00
+13.24750E-03,+3.27792888E+00,+3.30542565E+00
+13.29700E-03,+3.28190378E+00,+3.30260138E+00
+13.34650E-03,+3.28169457E+00,+3.30427502E+00
+13.39600E-03,+3.28472805E+00,+3.30124155E+00
+13.44550E-03,+3.28472805E+00,+3.30542565E+00
+13.49500E-03,+3.28891215E+00,+3.30542565E+00
+13.54450E-03,+3.28891215E+00,+3.30124155E+00
+13.59400E-03,+3.28891215E+00,+3.30124155E+00
+13.64350E-03,+3.28891215E+00,+3.30124155E+00
+13.69300E-03,+3.28891215E+00,+3.30511184E+00
+13.74250E-03,+3.28891215E+00,+3.30542565E+00
+13.79200E-03,+3.28891215E+00,+3.30124155E+00
+13.84150E-03,+3.28891215E+00,+3.30218297E+00
+13.89100E-03,+3.28891215E+00,+3.30124155E+00
+13.94050E-03,+3.28755231E+00,+3.30124155E+00
+13.99000E-03,+3.28891215E+00,+3.30281058E+00
+14.03950E-03,+3.28891215E+00,+3.30542565E+00
+14.08900E-03,+3.28891215E+00,+3.30542565E+00
+14.13850E-03,+3.29110880E+00,+3.30542565E+00
+14.18800E-03,+3.28891215E+00,+3.30542565E+00
+14.23750E-03,+37.86621E-03,+3.30124155E+00
+14.28700E-03,+37.86621E-03,+3.30260138E+00
+14.33650E-03,+32.53148E-03,+3.30124155E+00
+14.38600E-03,+33.68211E-03,+3.30124155E+00
+14.43550E-03,+29.49800E-03,+3.30124155E+00
+14.48500E-03,+29.49800E-03,+3.30071853E+00
+14.53450E-03,+29.49800E-03,+3.30155535E+00
+14.58400E-03,+29.49800E-03,+3.30521644E+00
+14.63350E-03,+29.39340E-03,+3.30124155E+00
+14.68300E-03,+25.31390E-03,+3.30124155E+00
+14.73250E-03,+29.49800E-03,+3.30124155E+00
+14.78200E-03,+29.49800E-03,+3.30124155E+00
+14.83150E-03,+29.49800E-03,+3.30218297E+00
+14.88100E-03,+29.49800E-03,+3.30124155E+00
+14.93050E-03,+28.13817E-03,+3.30124155E+00
+14.98000E-03,+25.31390E-03,+3.30124155E+00
+15.02950E-03,+25.31390E-03,+3.30301979E+00
+15.07900E-03,+25.31390E-03,+3.30343820E+00
+15.12850E-03,+29.49800E-03,+3.30343820E+00
+15.17800E-03,+29.49800E-03,+3.30364740E+00
+15.22750E-03,+25.31390E-03,+3.30385661E+00
+15.27700E-03,+25.31390E-03,+3.30124155E+00
+15.32650E-03,+25.31390E-03,+3.30124155E+00
+15.37600E-03,+25.31390E-03,+3.30542565E+00
+15.42550E-03,+25.31390E-03,+3.30469343E+00
+15.47500E-03,+28.97499E-03,+3.30176456E+00
+15.52450E-03,+25.31390E-03,+3.30511184E+00
+15.57400E-03,+29.39340E-03,+3.30124155E+00
+15.62350E-03,+25.41851E-03,+3.30124155E+00
+15.67300E-03,+29.49800E-03,+3.29737125E+00
+15.72250E-03,+25.31390E-03,+3.30490263E+00
+15.77200E-03,+29.49800E-03,+3.30124155E+00
+15.82150E-03,+29.49800E-03,+3.30124155E+00
